Material,Quantity,Price,Total,Date,Random_ID
rx7600,1,1.0,1.0,2024-02-06,659ee862-48d0-4453-bd9c-1b2eb2e18e1d
rx7600,1,1.0,1.0,2024-05-06,42498644-34af-4d69-896a-1c73c0534a67
rx7600,1,1.0,1.0,2024-05-06,9ddb1165-59e2-4207-b470-3cbc74606889
12,1,1.0,1.0,2024-05-06,08ad1230-a4a9-4336-9f6a-69a1b54648b7
rx7600,1,1.0,1.0,2024-02-06,281d2944-521a-4ec7-b1b2-45bc590ed80e
rx7600,1,1.0,1.0,2024-05-06,a64cf83d-5e58-4a41-9340-3f3f72aad7dd
rx7600,1,1.0,1.0,2024-05-06,242b6bc9-c214-4e6b-95e5-fb68cdd0b600
rx7600,1,1.0,1.0,2024-05-06,0ec3350e-f7e8-4749-a67c-6757ea50d05b
12,1,1.0,1.0,2024-05-06,3950b6e5-bdfd-4fdf-9512-6097c5bd675a
1,1,1.0,1.0,2024-05-06,56a99165-bbd4-47d2-a9eb-abc006412b47
rx7600,1,1.0,1.0,2024-05-06,fc0cd81d-668f-4fdd-8c1f-0bf4b5c1aca7
